part_number,filename,part_name,recommended_material,size_mm
1,01_enhanced_monocoque.stl,Enhanced monocoque,PETG,"(170.0, 42, 30.5)"
2,02_sensor_nose_cone.stl,Sensor nose cone,PETG,"(58.5, 26, 11.0)"
3,03_sculpted_sidepods_and_radiator_ducts.stl,Sculpted sidepods and radiator ducts,PETG,"(79.0, 106, 20.49)"
4,04_rear_wing_mainplane.stl,Rear wing mainplane,PETG,"(40.89, 125.0, 46.24)"
5,05_drs_flap_animated.stl,DRS flap animated,PETG,"(19.2, 108.0, 4.4)"
6,06_drs_actuator.stl,DRS actuator,PETG,"(10.26, 4.4, 25.06)"
7,07_enhanced_halo.stl,Enhanced halo,PETG,"(48.0, 42.0, 23.5)"
8,08_detailed_cockpit.stl,Detailed cockpit,PETG,"(66.0, 25.0, 24.75)"
9,09_front_pushrod_suspension.stl,Front pushrod suspension,PETG,"(44.05, 132.0, 24.16)"
10,10_rear_pushrod_suspension.stl,Rear pushrod suspension,PETG,"(44.06, 132.0, 24.16)"
11,11_battery_modules_and_busbars.stl,Battery modules and busbars,PETG,"(96.0, 30.0, 13.25)"
12,12_motor_gearbox_and_cooling.stl,Motor gearbox and cooling,PETG,"(43.0, 90.0, 30.99)"
13,13_inverter_and_hv_connectors.stl,Inverter and HV connectors,PETG,"(28.4, 25.0, 11.5)"
14,14_radiator_cooling_system.stl,Radiator cooling system,PETG,"(28.0, 87.0, 18.0)"
15,15_telemetry_antennas.stl,Telemetry antennas,PETG,"(52.8, 4.0, 32.0)"
16,16_front_left_slick_tire.stl,Front left slick tire,TPU_95A,"(36.7, 36.7, 13.9)"
17,17_front_left_detailed_rim.stl,Front left detailed rim,PETG,"(27.4, 27.4, 10.75)"
18,18_front_left_drilled_brake_rotor.stl,Front left drilled brake rotor,PETG,"(21.6, 21.6, 4.4)"
19,19_front_left_center_lock.stl,Front left center lock,PETG,"(11.6, 11.6, 5.7)"
20,20_front_right_slick_tire.stl,Front right slick tire,TPU_95A,"(36.7, 36.7, 13.9)"
21,21_front_right_detailed_rim.stl,Front right detailed rim,PETG,"(27.4, 27.4, 10.75)"
22,22_front_right_drilled_brake_rotor.stl,Front right drilled brake rotor,PETG,"(21.6, 21.6, 4.4)"
23,23_front_right_center_lock.stl,Front right center lock,PETG,"(11.6, 11.6, 5.7)"
24,24_rear_left_slick_tire.stl,Rear left slick tire,TPU_95A,"(36.7, 36.7, 13.9)"
25,25_rear_left_detailed_rim.stl,Rear left detailed rim,PETG,"(27.4, 27.4, 10.75)"
26,26_rear_left_drilled_brake_rotor.stl,Rear left drilled brake rotor,PETG,"(21.6, 21.6, 4.4)"
27,27_rear_left_center_lock.stl,Rear left center lock,PETG,"(11.6, 11.6, 5.7)"
28,28_rear_right_slick_tire.stl,Rear right slick tire,TPU_95A,"(36.7, 36.7, 13.9)"
29,29_rear_right_detailed_rim.stl,Rear right detailed rim,PETG,"(27.4, 27.4, 10.75)"
30,30_rear_right_drilled_brake_rotor.stl,Rear right drilled brake rotor,PETG,"(21.6, 21.6, 4.4)"
31,31_rear_right_center_lock.stl,Rear right center lock,PETG,"(11.6, 11.6, 5.7)"
32,32_22_upper_floor_body.stl,22_upper_floor_body,PETG,"(147.0, 75.4, 9.0)"
33,33_23_left_venturi_tunnel.stl,23_left_venturi_tunnel,PETG,"(137.16, 27.1, 18.2)"
34,34_24_right_venturi_tunnel.stl,24_right_venturi_tunnel,PETG,"(137.16, 27.1, 18.2)"
35,35_25_left_inlet_fences_x4.stl,25_left_inlet_fences_x4,PETG,"(32.05, 32.24, 8.35)"
36,36_26_right_inlet_fences_x4.stl,26_right_inlet_fences_x4,PETG,"(32.05, 32.24, 8.35)"
37,37_27_left_floor_edge_wing.stl,27_left_floor_edge_wing,PETG,"(118.74, 10.79, 9.98)"
38,38_28_right_floor_edge_wing.stl,28_right_floor_edge_wing,PETG,"(118.74, 10.79, 9.98)"
39,39_29_central_plank.stl,29_central_plank,PETG,"(132.0, 13.0, 3.75)"
40,40_30_titanium_skid_set.stl,30_titanium_skid_set,PETG,"(112.0, 9.0, 1.5)"
41,41_31_bib_tea_tray.stl,31_bib_tea_tray,PETG,"(22.0, 32, 8.0)"
42,42_32_left_diffuser.stl,32_left_diffuser,PETG,"(48.88, 31, 20.25)"
43,43_33_right_diffuser.stl,33_right_diffuser,PETG,"(48.88, 31, 20.25)"
44,44_34_diffuser_strakes.stl,34_diffuser_strakes,PETG,"(44, 64, 19)"
45,45_35_boat_tail_keel.stl,35_boat_tail_keel,PETG,"(47.56, 15.99, 15.92)"
46,46_36_rear_wake_fences.stl,36_rear_wake_fences,PETG,"(22.66, 85.66, 7.52)"
47,47_37_floor_stays.stl,37_floor_stays,PETG,"(37.4, 77.7, 14.7)"
48,48_fixed_front_wing_mainplane.stl,Fixed front-wing mainplane,PETG,"(40.73, 151.0, 27.0)"
49,49_left_active_flap_level_1.stl,Left active flap level 1,PETG,"(18.8, 65.5, 8.98)"
50,50_left_active_flap_level_2.stl,Left active flap level 2,PETG,"(16.8, 59.5, 9.92)"
51,51_left_active_flap_level_3.stl,Left active flap level 3,PETG,"(14.8, 51.5, 10.86)"
52,52_right_active_flap_level_1.stl,Right active flap level 1,PETG,"(18.8, 65.5, 8.98)"
53,53_right_active_flap_level_2.stl,Right active flap level 2,PETG,"(16.8, 59.5, 9.92)"
54,54_right_active_flap_level_3.stl,Right active flap level 3,PETG,"(14.8, 51.5, 10.86)"
55,55_six_channel_front_wing_actuator.stl,Six-channel front-wing actuator,PETG,"(17.68, 28.41, 19.86)"
