part,file,units,triangles,size_x_mm,size_y_mm,size_z_mm,sha256
body,geometry/body.stl,mm,390,4300.000,1020.000,755.000,6e68659b512f2061168a9540cf6c3c0a25eff5ea6ed1853227c5b3e48fd46a0c
canopy,geometry/canopy.stl,mm,168,1250.000,500.000,520.000,57b111307bb8621102598ddaa000542a36069511baf7b84b3a9408c0dec021a4
cooling,geometry/cooling.stl,mm,728,1390.000,1800.000,345.000,273ebbdc439ae2f117a9a5a9c01cd21b127eb2b4ee1b873bac9bb3a6354fbf32
diffuser,geometry/diffuser.stl,mm,456,2960.431,1731.588,280.000,1802593966caea8742e611da026254e7af73fe3509b4cfedde8759704635069f
floor,geometry/floor.stl,mm,36,3900.000,1538.000,122.500,3617ab7e1a9224ed49c37c0f643f26b35fc5782a08077b8e6595b58314223e8e
frontFlaps,geometry/frontFlaps.stl,mm,1632,503.787,1840.000,202.601,dbaf9c31511d2f59c81a12adc27427341b2afea10061840afda5820f7b2abeae
frontWing,geometry/frontWing.stl,mm,360,764.658,2010.000,500.000,0ddadcc1b82bba73c32dccc1b3eca7282238e8963730a9aa1ce3086a9c1b9576
halo,geometry/halo.stl,mm,192,1093.292,586.688,366.705,88c891b0c2482e83393cd03ba275f38adfbf6a684427b292f243e35d913b05a7
nose,geometry/nose.stl,mm,152,900.000,450.000,220.000,79d3dad51fccee22bfff440d561ed2df5b91b73157f6c19c84fd3b1de0c80e97
plank,geometry/plank.stl,mm,12,3850.000,260.000,18.000,c338ab97b8e7115f9f534f28062c63a5a868bbb1b5f00c8e476c0f148280eaac
rearFlap,geometry/rearFlap.stl,mm,272,342.688,1700.000,118.128,01d9cf426c58cc92da6e83874c2c5dc43987b96c3f2ca39234c0f34b25d2def0
rearWing,geometry/rearWing.stl,mm,360,872.021,1970.000,670.891,578efee7dce46f718100b1f501b11beaa75d92bfa0644371ab615216f811135a
sidepods,geometry/sidepods.stl,mm,1084,2300.000,1800.000,375.000,0596a30faae303a329ab37071aa559a211f872084ab010d3e0ba840d4d876b0f
skids,geometry/skids.stl,mm,48,3200.000,180.000,12.000,71c574bfd7270bb09d92704bff3148eca09e1c1ef31cdf94b301cc86c2481f1e
suspension,geometry/suspension.stl,mm,768,4073.728,1750.000,450.499,ec9340197699bec44c491a5c9b5a37dee2d37a212bc115d8d03679f6de64a4be
venturi,geometry/venturi.stl,mm,352,3700.000,1529.589,282.000,1cbe06f7b75a20fd3aeac16cad65ae61b60bb48160b718cf95ef3dafdb81e54e
wheelFL,geometry/wheelFL.stl,mm,256,720.000,310.000,720.000,7c89801f98de7efcd0af3be85beea4d77301f9fdcfe9cf999f8cd0987f81f638
wheelFR,geometry/wheelFR.stl,mm,256,720.000,310.000,720.000,956b6e35cc795e4ea8707d7139d5de89f68b17aa103f630fbd85eedd3dd342e6
wheelRL,geometry/wheelRL.stl,mm,256,720.000,310.000,720.000,c126b17e99eb24cbfcd37326aaf65f25aa12072122864dfdb1f2aa03fabdec31
wheelRR,geometry/wheelRR.stl,mm,256,720.000,310.000,720.000,2d6c9f240f06bc6fe75f91473ffd56bbb938bf0856195e54d46189e79e9e9219
