"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -4.169360066,      -3.687127045,      -4.024227823,      -3.983472345,      -6.625165951,      -1.406584054,   3.487548502e-06,      0.3083520855,                 3,                 3,                 3,              0.75,       6.799583624,      -2.695228059,     -0.1319323337,    0.007555303654,      0.3944227006,    -0.02800561796,       6.799583624,     -0.1319323337,      -2.695228059,     -0.3963813387
          0,           0,           1,      -4.175337567,      -3.692249151,      -4.007642292,      -3.957494396,      -6.635134978,      -1.426497022,   3.464132693e-06,      0.3066099706,                 3,                 3,                 3,              0.75,       6.627977255,      -2.671287201,     -0.1376825619,    0.007884058812,      0.4057308321,    -0.03051572086,       6.627977255,     -0.1376825619,      -2.671287201,     -0.4030320411
          0,           0,           2,      -4.188955703,      -3.698283265,      -3.994053159,      -3.934448552,      -6.627336223,      -1.442001354,   3.443504731e-06,      0.3050761953,                 3,                 3,                 3,              0.75,       6.460883259,      -2.643478912,      -0.142627641,    0.008105883078,       0.415900046,    -0.03235024386,       6.460883259,      -0.142627641,      -2.643478912,     -0.4091513197
          0,           0,           3,       -4.20777989,      -3.705430072,      -3.983328856,       -3.91511987,      -6.599203814,      -1.453893042,   3.425593749e-06,      0.3037457496,                 3,                 3,                 3,              0.75,       6.297724727,      -2.612478814,     -0.1466339339,     0.00822283457,        0.42490765,    -0.03350865023,       6.297724727,     -0.1466339339,      -2.612478814,     -0.4148289942
          0,           0,           4,      -4.229572082,      -3.713192754,      -3.975252534,       -3.89955018,      -6.550258569,      -1.463128956,   3.410338994e-06,      0.3026145331,                 3,                 3,                 3,              0.75,       6.138048771,       -2.57891685,     -0.1495919573,    0.008239304068,       0.432741219,    -0.03400443455,       6.138048771,     -0.1495919573,       -2.57891685,     -0.4201525512
          0,           0,           5,       -4.25291022,      -3.721368113,       -3.96964889,      -3.887594319,      -6.482745451,      -1.471138599,   3.397685524e-06,      0.3016788469,                 3,                 3,                 3,              0.75,       5.981510634,      -2.543369786,     -0.1514186695,    0.008161650442,      0.4393955042,    -0.03386406197,       5.981510634,     -0.1514186695,      -2.543369786,     -0.4252052603
          0,           0,           6,      -4.276833308,      -3.729910829,      -3.966361461,      -3.879016566,      -6.400780906,      -1.477501336,   3.387582402e-06,      0.3009352336,                 3,                 3,                 3,              0.75,       5.827858816,      -2.506357007,     -0.1520579511,     0.00799789535,      0.4448706626,    -0.03312503553,       5.827858816,     -0.1520579511,      -2.506357007,     -0.4300648121
          0,           0,           7,      -4.300577947,      -3.738836655,      -3.965244039,         -3.873543,      -6.308970256,      -1.482554956,   3.379981985e-06,       0.300380406,                 3,                 3,                 3,              0.75,       5.676920209,      -2.468337129,     -0.1514804031,    0.007757331782,      0.4491716665,    -0.03183371948,       5.676920209,     -0.1514804031,      -2.468337129,     -0.4348021528
          0,           0,           8,       -4.32343744,        -3.7481381,      -3.966145549,      -3.870896744,      -6.211141069,       -1.48663265,   3.374839065e-06,      0.3000111725,                 3,                 3,                 3,              0.75,       5.528586025,      -2.429707811,     -0.1496817802,     0.00745016952,      0.4523085221,    -0.03004327022,       5.528586025,     -0.1496817802,      -2.429707811,     -0.4394808727
          0,           0,           9,      -4.344706431,      -3.757818249,      -3.968930252,      -3.870815149,       -6.10995378,      -1.490041192,   3.372110138e-06,      0.2998243774,                 3,                 3,                 3,              0.75,       5.382797471,      -2.390806285,     -0.1466821099,    0.007087198114,      0.4542969868,    -0.02781159551,       5.382797471,     -0.1466821099,      -2.390806285,     -0.4441568344
          0,           0,          10,       -4.36369154,      -3.767871061,      -3.973471093,      -3.873055437,      -6.007133832,      -1.493109639,   3.371752456e-06,      0.2998168286,                 3,                 3,                 3,              0.75,        5.23953335,      -2.351912095,     -0.1425228857,    0.006679440799,      0.4551598818,    -0.02519921853,        5.23953335,     -0.1425228857,      -2.351912095,      -0.448878161
          0,           0,          11,      -4.380610686,      -3.777694795,      -3.979049784,       -3.87678092,      -5.903845741,      -1.496090718,   3.371414729e-06,      0.2998102922,                 3,                 3,                 3,              0.75,       5.098825922,      -2.313221138,     -0.1372637493,    0.006237537332,      0.4549277308,    -0.02226571081,       5.098825922,     -0.1372637493,      -2.313221138,     -0.4536772138
          0,           0,          12,      -4.397310076,      -3.786624122,      -3.984867039,      -3.881033948,      -5.800907412,      -1.499320992,   3.367729857e-06,      0.2995494428,                 3,                 3,                 3,              0.75,       4.960757051,      -2.274843781,     -0.1309775462,    0.005771316493,       0.453637333,     -0.0190664198,       4.960757051,     -0.1309775462,      -2.274843781,     -0.4585678673
          0,           0,          13,      -4.413493529,      -3.796098699,      -3.992138865,      -3.887024421,      -5.719249351,      -1.502557398,   3.364413532e-06,      0.2993158602,                 3,                 3,                 3,              0.75,       4.825367585,       -2.23690877,     -0.1237511697,    0.005290964476,      0.4513350498,    -0.01565658618,       4.825367585,     -0.1237511697,       -2.23690877,     -0.4635727186
          0,           0,          14,      -4.429452254,      -3.806593706,      -4.001194215,      -3.895101418,      -5.722552255,      -1.506396143,       3.36284e-06,      0.2992137347,                 3,                 3,                 3,              0.75,       4.692691993,      -2.199529777,     -0.1156823843,    0.004806386594,       0.448080233,    -0.01208963301,       4.692691993,     -0.1156823843,      -2.199529777,     -0.4687138597
          0,           0,          15,      -4.444351608,       -3.81785752,      -4.011880913,      -3.905072999,      -5.721937188,      -1.510937378,   3.362967571e-06,      0.2992398721,                 3,                 3,                 3,              0.75,       4.562772552,      -2.162785643,      -0.106876092,    0.004326747744,      0.4439448382,   -0.008415715121,       4.562772552,      -0.106876092,      -2.162785643,     -0.4740068936
          0,           0,          16,      -4.457540497,      -3.829704933,       -4.02409443,      -3.916758634,      -5.718919796,      -1.515795854,   3.364755244e-06,      0.2993911122,                 3,                 3,                 3,              0.75,        4.43565522,      -2.126722873,    -0.09744141542,    0.003860348264,      0.4390124677,   -0.004681471763,        4.43565522,    -0.09744141542,      -2.126722873,     -0.4794608163
          0,           0,          17,      -4.468728641,      -3.842004262,      -4.037769392,      -3.930000673,      -5.714519521,      -1.521280307,   3.368162596e-06,      0.2996643146,                 3,                 3,                 3,              0.75,       4.311388779,      -2.091358817,    -0.08748900453,    0.003414565426,      0.4333771719,   -0.000929618637,       4.311388779,    -0.08748900453,      -2.091358817,     -0.4850777613
          0,           0,          18,      -4.479216504,      -3.854557959,      -4.052687074,      -3.944449169,      -5.709439432,      -1.527751409,   3.372349971e-06,      0.2999956961,                 3,                 3,                 3,              0.75,       4.190033272,      -2.056675197,     -0.0771272932,    0.002995633581,      0.4271404251,    0.002802054319,       4.190033272,     -0.0771272932,      -2.056675197,     -0.4908493712
          0,           0,          19,        -4.4924467,      -3.867226652,      -4.068516479,      -3.959607087,       -5.70416031,      -1.534632407,   3.375641428e-06,      0.3002581412,                 3,                 3,                 3,              0.75,       4.071667676,      -2.022613648,    -0.06645922122,    0.002608484528,      0.4204073872,    0.006481707305,       4.071667676,    -0.06645922122,      -2.022613648,     -0.4967531264
          0,           0,          20,      -4.504435744,       -3.88023351,      -4.085837327,      -3.976102536,      -5.698937441,      -1.542046113,   3.379933843e-06,      0.3005955439,                 3,                 3,                 3,              0.75,       3.956350096,      -1.989127103,    -0.05558729367,     0.00225754693,      0.4132911449,     0.01007967882,       3.956350096,    -0.05558729367,      -1.989127103,     -0.5027682218
          0,           0,          21,      -4.516637889,      -3.893523141,      -4.104559319,       -3.99375038,      -5.693919914,      -1.550300992,   3.384733527e-06,      0.3009704126,                 3,                 3,                 3,              0.75,       3.844147439,      -1.956149378,     -0.0446071153,    0.001946192617,      0.4059072937,     0.01357063287,       3.844147439,     -0.0446071153,      -1.956149378,     -0.5088642953
          0,           0,          22,      -4.526986488,      -3.907072834,      -4.124913489,      -4.012784056,      -5.689158039,      -1.559511765,   3.390855969e-06,      0.3014444885,                 3,                 3,                 3,              0.75,       3.735120048,      -1.923613669,    -0.03360941546,    0.001676979486,      0.3983739181,     0.01693183313,       3.735120048,    -0.03360941546,      -1.923613669,      -0.515007187
          0,           0,          23,      -4.535675384,      -3.920789279,      -4.146883404,      -4.033119769,      -5.684656403,      -1.570682905,   3.398263889e-06,      0.3020148079,                 3,                 3,                 3,              0.75,       3.629331574,      -1.891443358,    -0.02267742547,    0.001451470671,      0.3908074624,     0.02014374085,       3.629331574,    -0.02267742547,      -1.891443358,     -0.5211547414
          0,           0,          24,      -4.542780052,      -3.934581254,      -4.170462022,      -4.054684471,      -5.680384061,      -1.583122216,   3.406919457e-06,      0.3026783533,                 3,                 3,                 3,              0.75,       3.526847155,       -1.85955382,    -0.01188665159,    0.001270291176,      0.3833201856,     0.02318967095,       3.526847155,    -0.01188665159,       -1.85955382,     -0.5272567079
          0,           0,          25,      -4.548325839,      -3.948356689,      -4.195636359,      -4.077412459,      -5.676288861,      -1.596853213,   3.416783918e-06,      0.3034320247,                 3,                 3,                 3,              0.75,       3.427732462,      -1.827854942,   -0.001304929393,    0.001133191996,      0.3760176495,     0.02605554376,       3.427732462,   -0.001304929393,      -1.827854942,     -0.5332548448
          0,           0,          26,      -4.552316013,      -3.962029076,      -4.222381842,      -4.101242306,      -5.672308244,      -1.612504131,    3.42781718e-06,       0.304272608,                 3,                 3,                 3,              0.75,       3.332052013,      -1.796253174,    0.009007445226,    0.001039141452,       0.368996587,     0.02872971456,       3.332052013,    0.009007445226,      -1.796253174,     -0.5390831737
          0,           0,          27,      -4.554752326,      -3.975514815,      -4.250656847,      -4.126112211,      -5.668375947,       -1.62960661,   3.439977397e-06,      0.3051967453,                 3,                 3,                 3,              0.75,       3.239867133,      -1.764653816,     0.01899737539,   0.0009864272761,      0.3623433262,     0.03120290434,       3.239867133,     0.01899737539,      -1.764653816,     -0.5446685756
          0,           0,          28,       -4.56076002,      -3.989317496,      -4.280268184,      -4.151729865,      -5.664440998,       -1.64868525,   3.452354057e-06,      0.3061356076,                 3,                 3,                 3,              0.75,       3.151243449,       -1.73295301,     0.02861999067,   0.0009726499914,      0.3561308693,     0.03346876797,       3.151243449,     0.02861999067,       -1.73295301,     -0.5499267315
          0,           0,          29,      -4.574500156,      -4.003943762,      -4.311035719,      -4.177835731,      -5.660461867,      -1.669539735,   3.463973426e-06,      0.3070159056,                 3,                 3,                 3,              0.75,       3.066248744,      -1.701041307,     0.03783822022,   0.0009948155955,      0.3504181566,     0.03552379206,       3.066248744,     0.03783822022,      -1.701041307,     -0.5547629855
          0,           0,          30,      -4.581367062,      -4.017657763,        -4.3430911,      -4.204977985,      -5.656370603,      -1.691931932,   3.476580735e-06,       0.307969151,                 3,                 3,                 3,              0.75,       2.984918808,      -1.668840423,     0.04661672929,    0.001049829023,      0.3452538826,     0.03736485109,       2.984918808,     0.04661672929,      -1.668840423,     -0.5590907259
          0,           0,          31,      -4.583829359,      -4.030723966,      -4.376207493,      -4.233027381,      -5.652212715,      -1.716753122,   3.490125122e-06,       0.308991307,                 3,                 3,                 3,              0.75,       2.907278659,      -1.636280587,     0.05492488529,    0.001134259881,       0.340673389,     0.03899059733,       2.907278659,     0.05492488529,      -1.636280587,     -0.5628220678
          0,           0,          32,      -4.583346003,      -4.043247439,      -4.410065267,      -4.261805418,      -5.648105179,      -1.742023721,    3.50455227e-06,      0.3100780872,                 3,                 3,                 3,              0.75,       2.833339636,      -1.603301169,     0.06273697595,    0.001244414582,      0.3366983422,      0.0404013324,       2.833339636,     0.06273697595,      -1.603301169,      -0.565869742
          0,           0,          33,      -4.639379482,       -4.06369596,      -4.443776791,      -4.288468712,       -5.64405097,      -1.768587393,   3.511831961e-06,      0.3106273712,                 3,                 3,                 3,              0.75,       2.763197454,      -1.569752139,     0.07004296851,    0.001375578829,      0.3333301707,     0.04160436977,       2.763197454,     0.07004296851,      -1.569752139,     -0.5680926408
          0,           0,          34,      -4.679404603,      -4.081000392,      -4.477143249,      -4.315440426,      -5.639898477,      -1.795806011,   3.518316583e-06,       0.311116565,                 3,                 3,                 3,              0.75,       2.696844417,      -1.535586766,     0.07682491821,    0.001523928287,      0.3305658291,     0.04260438171,       2.696844417,     0.07682491821,      -1.535586766,     -0.5694013183
          0,           0,          35,      -4.703226581,      -4.096389501,       -4.51016916,      -4.343430258,      -5.635572375,      -1.823321137,   3.525156558e-06,      0.3116319194,                 3,                 3,                 3,              0.75,       2.634241887,       -1.50078966,      0.0830661946,    0.001685783848,      0.3283932522,     0.04340668461,       2.634241887,      0.0830661946,       -1.50078966,     -0.5697235579
          0,           0,          36,      -4.718797078,       -4.11094969,      -4.542165203,       -4.37200139,      -5.631024526,      -1.851521963,   3.532290812e-06,      0.3121687831,                 3,                 3,                 3,              0.75,       2.575334132,       -1.46535799,     0.08875333162,    0.001857459542,      0.3267907123,     0.04401772723,       2.575334132,     0.08875333162,       -1.46535799,     -0.5689972311
