track,location,aero_mode,speed_m_s,speed_km_h,effective_ClA_m2,dynamic_pressure_pa,downforce_n,downforce_kn,downforce_kgf,low_estimate_kn,high_estimate_kn
Spa-Francorchamps,La Source,closed,25,90.0,3.51,382.81250000000006,1343.6718750000002,1.3436718750000003,137.01639958599526,1.0077539062500003,1.6795898437500003
Spa-Francorchamps,Eau Rouge/Raidillon,closed,78,280.8,3.51,3726.4500000000003,13079.8395,13.0798395,1333.772440129912,9.809879624999999,16.349799375
Spa-Francorchamps,Pouhon,closed,70,252.0,3.51,3001.25,10534.387499999999,10.5343875,1074.2085727542024,7.900790625,13.167984374999998
Spa-Francorchamps,Blanchimont,closed,82,295.2,3.51,4118.45,14455.759499999998,14.455759499999997,1474.0772333059708,10.841819624999998,18.069699374999995
Spa-Francorchamps,Kemmel straight,active,83.33,299.988,2.52,4253.13195125,10717.892517150001,10.717892517150002,1092.9208768692674,8.0384193878625,13.397365646437501
Silverstone,Village,closed,30,108.0,4.140000000000001,551.25,2282.175,2.282175,232.71708483529036,1.7116312500000002,2.85271875
Silverstone,Copse,closed,75,270.0,4.140000000000001,3445.3125,14263.593750000002,14.263593750000002,1454.4817802205648,10.697695312500002,17.829492187500005
Silverstone,Maggotts/Becketts,closed,68,244.8,4.140000000000001,2832.2000000000003,11725.308000000003,11.725308000000002,1195.6486669759809,8.793981000000002,14.656635000000003
Silverstone,Stowe,closed,65,234.0,4.140000000000001,2587.8125,10713.54375,10.713543750000001,1092.4774260323354,8.035157812500001,13.3919296875
Silverstone,Hangar straight,active,83.33,299.988,2.8520000000000003,4253.13195125,12129.932324965002,12.129932324965003,1236.908865409187,9.097449243723752,15.162415406206254
Monaco,Fairmont hairpin,closed,13.5,48.6,4.4,111.62812500000001,491.1637500000001,0.4911637500000001,50.084763910203804,0.3683728125000001,0.6139546875
Monaco,Casino Square,closed,48,172.8,4.4,1411.2,6209.280000000001,6.209280000000001,633.1703486919591,4.656960000000001,7.7616000000000005
Monaco,Tabac,closed,52,187.20000000000002,4.4,1656.2,7287.280000000001,7.287280000000001,743.0957564509798,5.465460000000001,9.1091
Monaco,Swimming Pool,closed,55.6,200.16,4.4,1893.4580000000005,8331.215200000002,8.331215200000003,849.5475213248156,6.248411400000002,10.414019000000003
Monaco,Tunnel,closed,72,259.2,4.4,3175.2000000000003,13970.880000000003,13.970880000000003,1424.6332845569082,10.47816,17.463600000000003
