round,grand_prix,circuit,length_km,track_type,assumed_qual_avg_speed_km_h,assumed_qual_avg_speed_m_s,predicted_qualifying_seconds,predicted_qualifying_lap,predicted_race_fastest_seconds,predicted_race_fastest_lap,predicted_green_flag_race_pace_seconds,predicted_green_flag_race_pace,qualifying_uncertainty_seconds,race_pace_uncertainty_seconds
1,Australia,Melbourne,5.278,mixed,251,69.72222222222221,75.7003984063745,1:15.700,77.59290836653386,1:17.593,80.09102151394423,1:20.091,1.8925099601593627,3.203640860557769
2,China,Shanghai,5.451,mixed,218,60.55555555555556,90.01651376146788,1:30.017,92.26692660550457,1:32.267,96.31766972477064,1:36.318,2.250412844036697,3.8527067889908255
3,Japan,Suzuka,5.807,high-downforce,239,66.38888888888889,87.46945606694561,1:27.469,89.65619246861924,1:29.656,92.71762343096235,1:32.718,2.1867364016736404,3.708704937238494
4,Miami,Miami,5.412,street-mixed,225,62.5,86.592,1:26.592,88.75679999999998,1:28.757,92.22048,1:32.220,2.1648,3.6888191999999997
5,Canada,Montreal,4.361,low-drag,220,61.11111111111111,71.36181818181818,1:11.362,73.14586363636363,1:13.146,75.64352727272727,1:15.644,1.8,3.025741090909091
6,Monaco,Monaco,3.337,maximum-downforce,174,48.33333333333333,69.04137931034484,1:09.041,70.76741379310346,1:10.767,74.56468965517243,1:14.565,1.8,3.0
7,Barcelona-Catalunya,Barcelona,4.657,high-downforce,235,65.27777777777777,71.34127659574469,1:11.341,73.1248085106383,1:13.125,75.62175319148938,1:15.622,1.8,3.0248701276595753
8,Austria,Spielberg,4.318,power,246,68.33333333333333,63.19024390243902,1:03.190,64.77,1:04.770,66.98165853658537,1:06.982,1.8,3.0
9,Great Britain,Silverstone,5.891,high-speed,250,69.44444444444444,84.8304,1:24.830,86.95115999999999,1:26.951,89.496072,1:29.496,2.12076,3.57984288
10,Belgium,Spa-Francorchamps,7.004,high-speed,249,69.16666666666667,101.26265060240964,1:41.263,103.79421686746987,1:43.794,107.84472289156626,1:47.845,2.531566265060241,4.31378891566265
11,Hungary,Hungaroring,4.381,maximum-downforce,210,58.33333333333333,75.10285714285715,1:15.103,76.98042857142858,1:16.980,80.36005714285716,1:20.360,1.8775714285714287,3.214402285714286
12,Netherlands,Zandvoort,4.259,high-downforce,221,61.388888888888886,69.37737556561086,1:09.377,71.11180995475112,1:11.112,74.23379185520362,1:14.234,1.8,3.0
13,Italy,Monza,5.793,minimum-drag,265,73.61111111111111,78.69735849056603,1:18.697,80.66479245283017,1:20.665,82.63222641509434,1:22.632,1.9674339622641508,3.3052890566037734
14,Madrid,Madring,5.416,street-mixed,212,58.888888888888886,91.96981132075473,1:31.970,94.26905660377359,1:34.269,98.40769811320757,1:38.408,5.0,3.936307924528303
15,Azerbaijan,Baku,6.003,street-low-drag,216,60.0,100.05,1:40.050,102.55124999999998,1:42.551,106.55324999999999,1:46.553,2.50125,4.26213
16,Singapore,Marina Bay,4.94,street-high-downforce,199,55.27777777777778,89.36683417085428,1:29.367,91.60100502512563,1:31.601,96.51618090452263,1:36.516,2.234170854271357,3.860647236180905
17,United States,Austin,5.513,mixed,218,60.55555555555556,91.04036697247706,1:31.040,93.31637614678898,1:33.316,96.95799082568806,1:36.958,2.2760091743119264,3.8783196330275223
18,Mexico,Mexico City,4.304,altitude-mixed,204,56.666666666666664,75.95294117647059,1:15.953,77.85176470588235,1:17.852,81.26964705882354,1:21.270,1.8988235294117648,3.2507858823529414
19,Brazil,Interlagos,4.309,mixed,228,63.33333333333333,68.03684210526316,1:08.037,69.73776315789473,1:09.738,72.79942105263159,1:12.799,1.8,3.0
20,Las Vegas,Las Vegas Strip,6.201,minimum-drag,243,67.5,91.86666666666666,1:31.867,94.16333333333331,1:34.163,97.37866666666666,1:37.379,2.2966666666666664,3.8951466666666663
21,Qatar,Lusail,5.419,high-speed,243,67.5,80.28148148148148,1:20.281,82.2885185185185,1:22.289,85.49977777777777,1:25.500,2.007037037037037,3.4199911111111105
22,Abu Dhabi,Yas Marina,5.281,mixed,232,64.44444444444444,81.94655172413792,1:21.947,83.99521551724136,1:23.995,86.8633448275862,1:26.863,2.048663793103448,3.4745337931034483
